,date,derv,t-1,t-2,t-3,t-4,t-5,t-6,t-7,t-8,t-9,t-10,Value
152,2021-06-22 01:20:00+00:00,-2.0052631578947338e-05,0.268224,0.268224,0.271272,0.271272,0.27432,0.27432,0.277368,0.277368,0.280416,0.283464,0.265176
153,2021-06-22 01:30:00+00:00,0.0,0.265176,0.268224,0.268224,0.271272,0.271272,0.27432,0.27432,0.277368,0.277368,0.280416,0.265176
154,2021-06-22 01:40:00+00:00,-1.979220779220776e-05,0.265176,0.265176,0.268224,0.268224,0.271272,0.271272,0.27432,0.27432,0.277368,0.277368,0.262128
155,2021-06-22 01:50:00+00:00,-1.9664516129032586e-05,0.262128,0.265176,0.265176,0.268224,0.268224,0.271272,0.271272,0.27432,0.27432,0.277368,0.25908
156,2021-06-22 02:00:00+00:00,0.0,0.25908,0.262128,0.265176,0.265176,0.268224,0.268224,0.271272,0.271272,0.27432,0.27432,0.25908
157,2021-06-22 02:10:00+00:00,-1.9414012738853474e-05,0.25908,0.25908,0.262128,0.265176,0.265176,0.268224,0.268224,0.271272,0.271272,0.27432,0.256032
158,2021-06-22 02:20:00+00:00,-1.9291139240506297e-05,0.256032,0.25908,0.25908,0.262128,0.265176,0.265176,0.268224,0.268224,0.271272,0.271272,0.252984
159,2021-06-22 02:30:00+00:00,0.0,0.252984,0.256032,0.25908,0.25908,0.262128,0.265176,0.265176,0.268224,0.268224,0.271272,0.252984
160,2021-06-22 02:40:00+00:00,-1.904999999999997e-05,0.252984,0.252984,0.256032,0.25908,0.25908,0.262128,0.265176,0.265176,0.268224,0.268224,0.249936
161,2021-06-22 02:50:00+00:00,-1.893167701863351e-05,0.249936,0.252984,0.252984,0.256032,0.25908,0.25908,0.262128,0.265176,0.265176,0.268224,0.246888
